course_code,course_number,course_type,credit_hours,department,department_name,description,grade_mode,language,long_title,restrictions,title
AMCI 238,238,"Internship/Practicum, Laboratory, Lecture, Seminar",1 TO 4,AMCI,Ancient Mediterranean Civil,Topics and credit hours may vary each semester. Contact department for current semester’s topic(s).  Repeatable for Credit.,Standard Letter,Taught in English,SPECIAL TOPICS,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,SPECIAL TOPICS
AMCI 400,400,Research,3,AMCI,Ancient Mediterranean Civil,In this two semester course an AMC student will write an honors thesis under the direction of an AMC faculty member. Instructor Permission Required. Repeatable for Credit.,Standard Letter,Taught in English,DIRECTED HONORS RESEARCH,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,AMC HONORS THESIS
AMCI 477,477,"Internship/Practicum, Laboratory, Lecture, Seminar",1 TO 4,AMCI,Ancient Mediterranean Civil,Topics and credit hours may vary each semester. Contact department for current semester’s topic(s).  Repeatable for Credit.,Standard Letter,Taught in English,SPECIAL TOPICS,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,SPECIAL TOPICS
